id;name;type;fgc_guarantee;active;minimum_investment;financial_risk;daily_liquidity;indexer_profitability;type_profitability;value_profitability;redemption_period;net_profitability;gross_income;distributor_name;issuer_name;risk;thumbnail;financial_risk_original;cdi_yearly;ipca_12
3831;CDB Banco Mercantil Pós-fixado 102,25% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;102.25;25/02/2028;9.75;11.30;XP Investimentos;Banco Mercantil do Brasil;1;https://investidor10.com.br/storage/companies/649ca663f374f.jpg;LOW;11.13;5.06
3810;CDB BTG Pactual Pós-fixado 102,50% CDI;CDB;1;1;500.0;Baixo;No Vencimento;CDI;POST_FIXED;102.50;25/08/2027;9.74;11.33;BTG Pactual;Banco BTG Pactual;1;https://investidor10.com.br/storage/companies/66cc8e7c56df1.jpg;LOW;11.13;5.06
3364;CDB Pagbank Pós-fixado 115,00% CDI;CDB;1;1;100.93;Baixo;No Vencimento;CDI;POST_FIXED;115.00;07/04/2025;9.72;12.71;Nubank;Pagbank;1;https://investidor10.com.br//storage/stocks/thumbnails/677e797146501.png;LOW;11.13;5.06
2619;CDB Banco Mercantil Pós-fixado 102,00% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;102.00;24/01/2028;9.72;11.27;XP Investimentos;Banco Mercantil do Brasil;1;https://investidor10.com.br/storage/companies/649ca663f374f.jpg;LOW;11.13;5.06
4013;CDB Afinz Pós-Fixado 115,00% CDI;CDB;1;1;1061.81;Baixo;No Vencimento;CDI;POST_FIXED;115.00;17/03/2025;9.71;12.71;Banco Inter;Afinz;1;https://investidor10.com.br/storage/companies/677e7a6b10873.png;LOW;11.13;5.06
3570;CDB BTG Pactual Pós-fixado 102,25% CDI;CDB;1;1;500.0;Baixo;No Vencimento;CDI;POST_FIXED;102.25;12/08/2027;9.71;11.30;BTG Pactual;Banco BTG Pactual;1;https://investidor10.com.br/storage/companies/66cc8e7c56df1.jpg;LOW;11.13;5.06
3799;CDB BTG Pactual IPCA + 6,73%;CDB;1;1;500.0;Baixo;No Vencimento;IPCA+;HYBRID;6.73;24/02/2026;9.70;12.13;BTG Pactual;Banco BTG Pactual;1;https://investidor10.com.br/storage/companies/66cc8e7c56df1.jpg;LOW;11.13;5.06
4054;CDB Banco Itaú IPCA + 6,71%;CDB;1;1;10000.0;Baixo;No Vencimento;IPCA+;HYBRID;6.71;10/03/2026;9.69;12.11;Itaú Unibanco;Itaú Unibanco;1;https://investidor10.com.br/storage/companies/66ace9528ffb2.jpg;LOW;11.13;5.06
2651;CDB Banco XP Pós-Fixado 100,80% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;100.80;12/03/2029;9.68;11.14;Rico;Banco XP;1;https://investidor10.com.br//storage/stocks/thumbnails/mvt1OLdD7SvdbaEhMVPjSEo079349nfyUxSeTaSh.jpg;LOW;11.13;5.06
3933;CDB Banco BMG Pós-fixado 102,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;102.00;08/03/2027;9.66;11.27;BTG Pactual;Banco BMG;1;https://investidor10.com.br/storage/companies/66d9a94bc4c89.jpg;LOW;11.13;5.06
4155;CDB Bradesco Pós-Fixado 101,00% CDI;CDB;1;1;500.0;Baixo;Diária;CDI;POST_FIXED;101.00;14/03/2028;9.63;11.16;Bradesco;Bradesco;1;https://investidor10.com.br/storage/companies/66ad14dc6e8ce.jpg;LOW;11.13;5.06
3912;CDB Banco C6 Consignado Pós-fixado 104,50% CDI;CDB;1;1;1.0;Baixo;No Vencimento;CDI;POST_FIXED;104.50;01/03/2027;9.62;11.55;Nubank;Banco C6;1;https://investidor10.com.br/storage/companies/6723e56a98470.jpg;LOW;11.13;5.06
4100;CDB Banco Santander Pós-fixado 100,00% CDI;CDB;1;1;1.0;Baixo;Diária;CDI;POST_FIXED;100.00;11/03/2029;9.60;11.05;Banco Santander;Banco Santander;1;https://investidor10.com.br/storage/companies/66cc9b5c46f92.jpg;LOW;11.13;5.06
2624;CDB Banco XP Pós-fixado 100,75% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;100.75;24/01/2028;9.60;11.13;XP Investimentos;Banco Xp S.A.;1;https://investidor10.com.br//storage/stocks/thumbnails/mvt1OLdD7SvdbaEhMVPjSEo079349nfyUxSeTaSh.jpg;LOW;11.13;5.06
3983;CDB Banco Guanabara Pós-fixado 108,50% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;108.50;02/03/2026;9.59;11.99;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
2653;CDB Banco XP Pós-Fixado 100,45% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;100.45;12/03/2028;9.58;11.10;Rico;Banco XP;1;https://investidor10.com.br//storage/stocks/thumbnails/mvt1OLdD7SvdbaEhMVPjSEo079349nfyUxSeTaSh.jpg;LOW;11.13;5.06
4138;CDB Banco Original Pós-fixado 104,50% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;104.50;06/09/2026;9.57;11.55;Nubank;Banco Original;1;https://investidor10.com.br/storage/companies/6751de6021724.png;LOW;11.13;5.06
4143;CDB Nubank Pós-Fixado 104,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;104.00;04/03/2027;9.57;11.49;Nubank;Nubank;1;https://investidor10.com.br//storage/stocks/thumbnails/WRVHU9E4oEhuJQQruv25Rr8XOcWuJUS2GzVNfGot.jpg;LOW;11.13;5.06
3151;CDB Banco Guanabara Pós-Fixado 104,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;104.00;16/02/2027;9.57;11.49;Banco Inter;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
4154;CDB Bradesco Pós-Fixado 100,00% CDI;CDB;1;1;100.0;Baixo;Diária;CDI;POST_FIXED;100.00;14/03/2028;9.54;11.05;Bradesco;Bradesco;1;https://investidor10.com.br/storage/companies/66ad14dc6e8ce.jpg;LOW;11.13;5.06
4163;CDB BR Partners Pós-Fixado 100,70% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;100.70;15/03/2027;9.53;11.13;Bradesco;BR Partners;1;https://investidor10.com.br/storage/companies/6101bad947f34.jpg;LOW;11.13;5.06
4146;CDB Nubank Pós-Fixado 103,50% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;103.50;04/09/2026;9.48;11.44;Nubank;Nubank;1;https://investidor10.com.br//storage/stocks/thumbnails/WRVHU9E4oEhuJQQruv25Rr8XOcWuJUS2GzVNfGot.jpg;LOW;11.13;5.06
3150;CDB Banco Guanabara Pós-Fixado 103,50% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;103.50;20/08/2026;9.48;11.44;Banco Inter;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
2552;CDB Banco Digimais Pós-Fixado 103,00% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;103.00;05/03/2027;9.48;11.38;Banco Inter;Banco Digimais;1;https://investidor10.com.br/storage/companies/6716aa1c977b6.png;LOW;11.13;5.06
2650;CDB Banco XP Pós-Fixado 100,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;100.00;13/03/2027;9.47;11.05;Rico;Banco XP;1;https://investidor10.com.br//storage/stocks/thumbnails/mvt1OLdD7SvdbaEhMVPjSEo079349nfyUxSeTaSh.jpg;LOW;11.13;5.06
3369;CDB Pagbank Pós-fixado 112,00% CDI;CDB;1;1;111.04;Baixo;No Vencimento;CDI;POST_FIXED;112.00;17/03/2025;9.46;12.38;Nubank;Pagbank;1;https://investidor10.com.br//storage/stocks/thumbnails/677e797146501.png;LOW;11.13;5.06
3988;CDB Agibank Pós-fixado 107,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;107.00;07/03/2026;9.46;11.82;Nubank;Banco Agibank;1;https://investidor10.com.br/storage/companies/6723e55fc7db5.jpg;LOW;11.13;5.06
3794;CDB Banco Guanabara Pós-fixado 107,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;107.00;19/02/2026;9.46;11.82;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
4060;CDB Afinz Pós-fixado 107,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;107.00;10/03/2026;9.46;11.82;Itaú Unibanco;Afinz;1;https://investidor10.com.br/storage/companies/677e7a6b10873.png;LOW;11.13;5.06
3758;CDB Banco Guanabara Pós-fixado 107,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;107.00;15/02/2026;9.45;11.82;Nubank;Banco Guanabara S.A.;1;https://investidor10.com.br/storage/companies/67575618a30e4.png;LOW;11.13;5.06
3907;CDB Nubank Pós-Fixado 103,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;103.00;22/08/2026;9.43;11.38;Nubank;Nubank;1;https://investidor10.com.br//storage/stocks/thumbnails/WRVHU9E4oEhuJQQruv25Rr8XOcWuJUS2GzVNfGot.jpg;LOW;11.13;5.06
4009;CDB Banco Original Pós-Fixado 103,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;103.00;01/09/2026;9.43;11.38;Banco Inter;Banco Original;1;https://investidor10.com.br/storage/companies/6751de6021724.png;LOW;11.13;5.06
2777;CDB Banco Stone Pós-fixado 102,50% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;102.50;28/01/2027;9.42;11.33;XP Investimentos;Banco Stone;1;https://investidor10.com.br//storage/stocks/thumbnails/WIXrBYTNYBou4S8SVKPWNNEbgpxl8ca17sYw9CRT.jpg;LOW;11.13;5.06
2413;CDB Banco Inter Pós-Fixado 102,00% CDI;CDB;1;1;1.0;Baixo;Diária;CDI;POST_FIXED;102.00;25/02/2027;9.38;11.27;Banco Inter;Banco Inter;1;https://investidor10.com.br/storage/stocks/thumbnails/6776c31d48e28.png;LOW;11.13;5.06
3834;CDB Banco Mercantil Pós-fixado 102,00% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;102.00;25/02/2027;9.38;11.27;XP Investimentos;Banco Mercantil do Brasil;1;https://investidor10.com.br/storage/companies/649ca663f374f.jpg;LOW;11.13;5.06
4164;CDB Banco Inter Pós-Fixado 99,00% CDI;CDB;1;1;5000.0;Baixo;No Vencimento;CDI;POST_FIXED;99.00;15/03/2027;9.37;10.94;Bradesco;Banco Inter;1;https://investidor10.com.br/storage/stocks/thumbnails/6776c31d48e28.png;LOW;11.13;5.06
949;CDB Banco Inter Pós-Fixado 106,00% CDI;CDB;1;1;100.0;Baixo;No Vencimento;CDI;POST_FIXED;106.00;01/03/2026;9.37;11.71;Banco Inter;Banco Inter;1;https://investidor10.com.br/storage/stocks/thumbnails/6776c31d48e28.png;LOW;11.13;5.06
4062;CDB Afinz Pós-fixado 106,00% CDI;CDB;1;1;1000.0;Baixo;No Vencimento;CDI;POST_FIXED;106.00;10/03/2026;9.37;11.71;Itaú Unibanco;Afinz;1;https://investidor10.com.br/storage/companies/677e7a6b10873.png;LOW;11.13;5.06
3566;CDB BTG Pactual Pós-fixado 101,75% CDI;CDB;1;1;500.0;Baixo;No Vencimento;CDI;POST_FIXED;101.75;12/08/2026;9.31;11.24;BTG Pactual;Banco BTG Pactual;1;https://investidor10.com.br/storage/companies/66cc8e7c56df1.jpg;LOW;11.13;5.06
4130;CDB BRB Pós-Fixado 102,00% CDI;CDB;1;1;1000.0;Baixo;Diária;CDI;POST_FIXED;102.00;13/03/2026;9.30;11.27;Rico;Banco de Brasília;1;https://investidor10.com.br/storage/companies/5f6b24b4b9923.jpeg;LOW;11.13;5.06
